date,RF,MKT,R_over,R_under,SMB
2000-01-04,5.4e-05,0.029564620408625064,-0.005475457839861586,-0.00206169460436767,-0.003376687882597708
2000-01-05,5.4e-05,0.0036838733609665386,-0.0015081656514079889,0.0015147633210695344,0.005156441778816375
2000-01-06,5.4e-05,0.03960193511371535,-0.0003715769765411103,0.0041209875374660365,-0.007750890658509313
2000-01-07,5.4e-05,0.03615348358541293,0.009755832643951412,0.004124861659200008,-0.0012732582600799187
2000-01-10,5.4e-05,0.02047733481159142,-0.010025784389443015,0.00040961908538694747,0.0030333868463241105
2000-01-11,5.4e-05,-0.04285549724236681,-0.008181078673341946,0.003664000272218526,0.00030507588828750445
2000-01-12,5.4e-05,-0.027754213672026684,0.00634397622996874,-0.004264138636271397,0.004532160641527392
2000-01-13,5.4e-05,-0.009216113691574934,-0.0021927028671149817,0.0007297592805762254,-0.0018546031673823222
2000-01-14,5.4e-05,-0.01013150309968136,-0.007949275218443963,-0.0010710781216284881,-0.0024461736112177017
2000-01-17,5.4e-05,0.01677131297832357,-0.005970742357651493,0.0009693379606104946,0.0010528689486164495
2000-01-18,5.4e-05,-0.002613541291044852,0.0042598882381689185,0.0036513544143354504,-6.73829745131046e-05
2000-01-19,5.4e-05,0.01105821418963404,-0.0061105623733916925,0.0039725109024219,-0.0004061306830952143
2000-01-20,5.4e-05,0.01782875665562411,-0.013265973916258611,0.00012311109791485197,0.00056425564152544
2000-01-21,5.4e-05,0.0026159728207881816,-0.021878252926267827,0.001953824260838344,-0.006225190533424444
2000-01-24,5.4e-05,0.012166063774316394,-0.02247263301893032,0.0031216144282381064,0.0043640030972745825
2000-01-25,5.4e-05,0.0003027826504504727,0.01694234371385911,0.003365228771953277,0.009140586839688788
2000-01-26,5.4e-05,0.0033276570718643317,-0.0014473864680598636,0.00016363368196192773,-0.0013663792824970729
2000-01-27,5.4e-05,0.016090784118615087,-0.029310495966951233,0.00390546509697276,-0.009192871082786214
2000-01-28,5.4e-05,0.02000433800715129,-0.007063403872172969,0.0017327444350111465,0.0007597230619285061
2000-02-14,5.4e-05,0.090343536546446,-0.0068094796205853125,-0.0011603592393564233,-0.0002966915606087417
2000-02-15,5.4e-05,0.003915940115798211,-0.05610524120545912,0.0016387714935002795,5.8271073485419937e-05
2000-02-16,5.4e-05,0.020146494147349925,-0.028310525287874255,-0.016513579710048965,0.016534115000403915
2000-02-17,5.4e-05,-0.030815032275546272,0.06295504693007159,-0.0014795187797462805,-0.0023367940535094327
2000-02-18,5.4e-05,0.01599661664727936,-0.04433701068575108,0.007557290086693369,0.003893345407972093
2000-02-21,5.4e-05,0.005414577519145869,0.04869132561097195,0.004037922887923484,0.018142398706330054
2000-02-22,5.4e-05,-0.027842728660850136,0.00214699664165785,-0.003163522739321356,-0.00694165868992974
2000-02-23,5.4e-05,-0.026028856361408836,0.02522070812824523,-0.0030346436589525627,0.0019034112098377434
2000-02-24,5.4e-05,0.02539582343007951,-0.022896171925618103,0.0077586512942298125,0.0012225582888409168
2000-02-25,5.4e-05,-0.0017135993664352256,-0.003078753938910661,0.0024209643146891335,0.005479283201428727
2000-02-28,5.4e-05,0.04551662125155187,-0.026174304245846214,-0.0008148238898445515,-0.0006409898812498316
2000-02-29,5.4e-05,0.004324025268152454,0.015400204104275783,-0.003207209483454876,-0.0005830505218654691
2000-03-01,5.4e-05,-0.0069813886774634515,0.02378859174420539,-0.007395380822586284,0.01587011285395993
2000-03-02,5.4e-05,0.0076684956342703,-0.010122556252382509,0.001532041934169448,0.0014113534870144702
2000-03-03,5.4e-05,0.012667542486163308,0.008500461331887199,0.0007923783596434086,0.0028983129612012437
2000-03-06,5.4e-05,-0.035175427873857634,0.03530165477896091,-0.005458721287103618,-0.0012824156826179225
2000-03-07,5.4e-05,0.011191360925115744,0.004989011780771546,-0.00502525410618726,-0.006919771727703768
2000-03-08,5.4e-05,0.017038651984732756,-0.01977557002774527,0.0014258432012769218,-0.0006397982767126966
2000-03-09,5.4e-05,0.0037209479592883454,0.0009537910275391193,-0.00366974943855386,-0.005280149704045278
2000-03-10,5.4e-05,-0.015062109248500488,-0.012061235268090664,0.008119186064397543,-0.0005254218128564747
2000-03-13,5.4e-05,0.016114895899776327,0.00752806778619719,-0.007698703534836815,0.006341707598983447
2000-03-14,5.4e-05,-0.02597663243133419,0.009616106417201842,0.001872512179531216,0.01334654222753064
2000-03-15,5.4e-05,-0.001557043006776393,0.011799419081775397,-0.0006791795280380875,0.01428064479777084
2000-03-16,5.4e-05,-0.04481344263985887,0.01503990605790062,0.0012546833016218728,-0.002839865793598517
2000-03-17,5.4e-05,0.032233959163560755,-0.02048420580276411,0.005709092691759454,0.0003097178402453604
2000-03-20,5.4e-05,0.026255886902623704,0.003932999010187288,-0.0013438509857583991,0.012500333492814432
2000-03-21,5.4e-05,0.007163194355744862,0.0064771068286710864,-0.0031195242003040358,0.0025124342945966136
2000-03-22,5.4e-05,0.007905075950837226,-0.008019864521311426,0.002959248403537784,-0.0028040094784638576
2000-03-23,5.4e-05,0.015307850210237728,-0.003034677567026467,-0.005695434298104596,0.007622601140077438
2000-03-24,5.4e-05,-0.0085318932793077,-0.0009404137288993031,-0.0027541970214844946,0.0019711115248899898
2000-03-27,5.4e-05,0.02576527890475444,0.0183953443188255,-0.0060622476564673455,0.017444046086595107
2000-03-28,5.4e-05,0.009707854179929363,0.0027251677147802633,-0.0008111187201756964,0.00040459813750419113
2000-03-29,5.4e-05,-0.0031865680247272765,-0.004341525230416088,0.009778611792623848,-0.004979755719917897
